Gene.symbol,Probe_count,Representative_probe,logFC,adj.P.Val,P.Value,DEG_status,Direction_consistency,All_probe_IDs
DLEU2,2,1556821_x_at,2.17829392,5.68e-15,1.22e-16,Up,Up,1556821_x_at|1556820_a_at
C9orf66,1,1552755_at,-1.19878947,5.73e-15,1.23e-16,Down,Down,1552755_at
RNF180,2,242985_x_at,-1.36783009,5.99e-15,1.29e-16,Down,Down,242985_x_at|236644_at
MDM1,1,220397_at,-1.01833322,6.09e-15,1.32e-16,Down,Down,220397_at
IRS4,1,1560652_at,-1.87788025,6.26e-15,1.35e-16,Down,Down,1560652_at
ICAM4,1,207194_s_at,1.1917866,6.69e-15,1.45e-16,Up,Up,207194_s_at
PELI1,3,218319_at,1.66641441,6.79e-15,1.48e-16,Up,Up,218319_at|232304_at|232213_at
FHL2,1,202949_s_at,-1.19947763,6.79e-15,1.48e-16,Down,Down,202949_s_at
ENC1,2,201341_at,1.16525934,6.93e-15,1.52e-16,Up,Up,201341_at|201340_s_at
PLXDC1,1,219700_at,1.45034416,7.3e-15,1.6e-16,Up,Up,219700_at
GPATCH2,1,242224_at,-1.06844352,7.33e-15,1.61e-16,Down,Down,242224_at
ZNF132,1,207402_at,-1.00086187,7.33e-15,1.61e-16,Down,Down,207402_at
PXDN,2,212012_at,1.22555751,7.8e-15,1.73e-16,Up,Up,212012_at|212013_at
TC2N,2,1553132_a_at,-1.38504505,8.24e-15,1.83e-16,Down,Down,1553132_a_at|234970_at
SCUBE3,2,228407_at,-2.02982622,8.29e-15,1.85e-16,Down,Down,228407_at|230290_at
PMEPA1,1,222450_at,1.11549208,8.52e-15,1.9e-16,Up,Up,222450_at
LOC283075,1,233546_at,-1.09722136,8.91e-15,1.99e-16,Down,Down,233546_at
FAM189A1,1,213997_at,-1.31555928,8.94e-15,2e-16,Down,Down,213997_at
GDF10,1,206159_at,-1.79834734,9.3e-15,2.08e-16,Down,Down,206159_at
STMN2,2,203000_at,1.22627447,9.48e-15,2.13e-16,Up,Up,203000_at|203001_s_at
LOC101929232,1,217520_x_at,-1.09947832,1.05e-14,2.38e-16,Down,Down,217520_x_at
