Gene.symbol,Probe_count,Representative_probe,logFC,adj.P.Val,P.Value,DEG_status,Direction_consistency,All_probe_IDs
MMRN1,1,205612_at,-4.24937696,4.5499999999999995e-34,8.33e-39,Down,Down,205612_at
LYVE1,2,219059_s_at,-3.33827134,2.95e-30,1.27e-34,Down,Down,219059_s_at|220037_s_at
SHROOM4,2,244825_at,2.07690004,2.95e-30,1.6199999999999998e-34,Up,Up,244825_at|232404_at
HMGA2,2,208025_s_at,5.37560888,3.31e-28,3.35e-32,Up,Up,208025_s_at|1567224_at
ENTPD1,4,228585_at,3.55710743,3.31e-28,3.63e-32,Up,Up,228585_at|209473_at|209474_s_at|207691_x_at
GABRB2,2,242344_at,5.96463384,3.92e-28,5.740000000000001e-32,Up,Up,242344_at|1557122_s_at
DPT,3,207977_s_at,-2.00952821,3.92e-28,5.24e-32,Down,Down,207977_s_at|213071_at|213068_at
TENM1,1,205728_at,4.6143558,6.48e-28,1.07e-31,Up,Up,205728_at
CDH6,4,214803_at,3.13291361,7.09e-28,1.4300000000000001e-31,Up,Up,214803_at|205532_s_at|210602_s_at|205533_s_at
AOX1,2,205083_at,-2.90856588,1.4200000000000001e-27,3.13e-31,Down,Down,205083_at|205082_s_at
ART4,2,242496_at,-1.92298548,2.0600000000000002e-27,4.89e-31,Down,Down,242496_at|207220_at
NPC2,1,200701_at,1.62796108,2.3800000000000002e-27,6.11e-31,Up,Up,200701_at
LIPH,2,235871_at,2.09533977,2.7000000000000002e-27,7.4e-31,Up,Up,235871_at|241898_at
ADH1B,2,209612_s_at,-3.48992471,3.03e-27,8.87e-31,Down,Down,209612_s_at|209613_s_at
PROS1,1,207808_s_at,2.63191263,3.0900000000000003e-27,9.6e-31,Up,Up,207808_s_at
ZMAT3,5,219628_at,1.91138758,3.6300000000000006e-27,1.2000000000000001e-30,Up,Up,219628_at|227221_at|225725_at|228315_at|1555609_a_at
RELN,1,205923_at,-2.53990687,5.490000000000001e-27,2.0099999999999997e-30,Down,Down,205923_at
RXRG,1,205954_at,3.73007902,5.53e-27,2.12e-30,Up,Up,205954_at
HEY2,2,222921_s_at,2.64432164,9.56e-27,3.8499999999999996e-30,Up,Up,222921_s_at|219743_at
LRP4,1,212850_s_at,4.42930771,1.63e-26,7.07e-30,Up,Up,212850_s_at
RYR2,2,214044_at,-2.3714947,1.63e-26,7.27e-30,Down,Down,214044_at|207557_s_at
SDC4,1,202071_at,2.27277218,1.63e-26,7.43e-30,Up,Up,202071_at
RYR1,1,205485_at,2.84911476,1.72e-26,8.17e-30,Up,Up,205485_at
GALE,1,202528_at,2.21664376,2.66e-26,1.31e-29,Up,Up,202528_at
LRRN4CL,1,1556427_s_at,-1.68587343,2.77e-26,1.42e-29,Down,Down,1556427_s_at
EPS8,1,202609_at,1.89050393,3.62e-26,1.9900000000000002e-29,Up,Up,202609_at
NHSL2,1,227618_at,2.07752181,5.31e-26,3.01e-29,Up,Up,227618_at
COL13A1,1,211343_s_at,2.83633091,5.48e-26,3.21e-29,Up,Up,211343_s_at
TFPI,4,210664_s_at,-2.10779085,6.49e-26,4.0400000000000003e-29,Down,Down,210664_s_at|210665_at|209676_at|213258_at
MPZL2,3,203780_at,2.30171034,6.75e-26,4.3200000000000004e-29,Up,Up,203780_at|230518_at|203779_s_at
OCA2,1,206498_at,-2.22722208,8.98e-26,6.08e-29,Down,Down,206498_at
CDH3,1,203256_at,2.77224397,1.28e-25,8.880000000000001e-29,Up,Up,203256_at
CDH16,1,206517_at,-2.93016427,1.95e-25,1.43e-28,Down,Down,206517_at
NRCAM,1,204105_s_at,2.39296678,2.02e-25,1.55e-28,Up,Up,204105_s_at
LRRK2,1,229584_at,4.26007227,2.3e-25,1.9000000000000003e-28,Up,Up,229584_at
TFF3,1,204623_at,-4.10800692,2.3e-25,1.94e-28,Down,Down,204623_at
DPP4,3,203717_at,3.53028674,2.3e-25,1.8899999999999999e-28,Up,Up,203717_at|211478_s_at|203716_s_at
TNIK,3,211828_s_at,2.16000355,2.58e-25,2.22e-28,Up,Up,211828_s_at|213107_at|213109_at
PRR15,1,226961_at,4.82006125,3.24e-25,2.8499999999999997e-28,Up,Up,226961_at
SIPA1L2,2,225056_at,1.70337863,3.38e-25,3.15e-28,Up,Up,225056_at|233587_s_at
KLHL4,1,214591_at,-1.38068176,3.38e-25,3.0899999999999998e-28,Down,Down,214591_at
LPAR5,2,230252_at,3.16013791,3.4e-25,3.23e-28,Up,Up,230252_at|231788_at
GALNT7,2,218313_s_at,1.93492698,3.59e-25,3.48e-28,Up,Up,218313_s_at|222587_s_at
SYTL5,2,242093_at,4.21823952,3.6599999999999997e-25,3.61e-28,Up,Up,242093_at|1553033_at
LRP1B,1,219643_at,-3.43975196,3.81e-25,3.8299999999999997e-28,Down,Down,219643_at
FN1,7,212464_s_at,3.06847306,3.97e-25,4.07e-28,Up,Up,212464_s_at|216442_x_at|210495_x_at|211719_x_at|214701_s_at|214702_at|1558199_at
TUSC3,4,213423_x_at,2.92478718,3.9799999999999998e-25,4.15e-28,Up,Up,213423_x_at|209228_x_at|235801_at|209227_at
DUSP4,3,204014_at,3.18614262,4.51e-25,4.78e-28,Up,Up,204014_at|226034_at|204015_s_at
STK32A,3,229866_at,2.401876,4.59e-25,4.95e-28,Up,Up,229866_at|239353_at|1553938_a_at
SERPINA1,3,211429_s_at,3.56638298,5.57e-25,6.11e-28,Up,Up,211429_s_at|202833_s_at|230318_at
PLSCR4,1,218901_at,-1.47231263,5.59e-25,6.23e-28,Down,Down,218901_at
PLA2R1,4,235746_s_at,-3.05631999,5.74e-25,6.72e-28,Down,Down,235746_s_at|207415_at|240039_at|210194_at
GLT1D1,1,229770_at,1.97915578,5.74e-25,6.7e-28,Up,Up,229770_at
METTL7B,1,227055_at,3.23888744,7.93e-25,1e-27,Up,Up,227055_at
MYEF2,4,229464_at,1.46674873,8.75e-25,1.14e-27,Up,Up,229464_at|222771_s_at|232676_x_at|222772_at
DLG2,2,228973_at,-1.92703412,1.07e-24,1.4500000000000002e-27,Down,Down,228973_at|206253_at
XPR1,2,222581_at,1.52738341,1.24e-24,1.7000000000000002e-27,Up,Up,222581_at|226615_at
GLT8D2,2,221447_s_at,-2.20948157,1.36e-24,1.9400000000000003e-27,Down,Down,221447_s_at|227070_at
ABR,2,212895_s_at,1.36843516,1.36e-24,1.9100000000000003e-27,Up,Up,212895_s_at|214671_s_at
PHLDA3,2,235534_at,1.39042604,1.38e-24,1.99e-27,Up,Up,235534_at|218634_at
AMIGO2,1,222108_at,2.62287953,1.44e-24,2.11e-27,Up,Up,222108_at
TGFA,1,205016_at,2.56404501,1.44e-24,2.18e-27,Up,Up,205016_at
LOC101927705,1,202733_at,1.81887822,1.44e-24,2.1300000000000002e-27,Up,Up,202733_at
P4HA2,1,202733_at,1.81887822,1.44e-24,2.1300000000000002e-27,Up,Up,202733_at
PTP4A3,2,206574_s_at,1.50002717,2.25e-24,3.6200000000000004e-27,Up,Up,206574_s_at|209695_at
SLC25A33,1,223296_at,-1.50576932,2.32e-24,3.91e-27,Down,Down,223296_at
IPCEF1,1,214735_at,-3.16238933,2.33e-24,3.9600000000000006e-27,Down,Down,214735_at
GGCT,1,215380_s_at,1.3253725,2.51e-24,4.33e-27,Up,Up,215380_s_at
RNF24,3,204668_at,1.18200727,2.51e-24,4.3700000000000004e-27,Up,Up,204668_at|226542_at|204669_s_at
TMEM173,2,224929_at,1.83166378,2.5499999999999998e-24,4.47e-27,Up,Up,224929_at|224916_at
TNFRSF10B,1,209295_at,1.31830691,2.5699999999999997e-24,4.56e-27,Up,Up,209295_at
SYTL1,1,227134_at,2.04603641,3e-24,5.380000000000001e-27,Up,Up,227134_at
PRKCQ,2,210039_s_at,-1.29225305,3.24e-24,5.86e-27,Down,Down,210039_s_at|210038_at
GPC3,1,209220_at,-1.52783282,3.28e-24,5.990000000000001e-27,Down,Down,209220_at
ST7-AS1,1,1555912_at,-1.51870862,3.61e-24,6.67e-27,Down,Down,1555912_at
CXorf57,1,219355_at,-1.58098157,4.54e-24,8.630000000000001e-27,Down,Down,219355_at
PID1,1,219093_at,-1.95773395,5.2099999999999996e-24,1.01e-26,Down,Down,219093_at
BICD1,3,1556051_a_at,1.37638571,5.5299999999999994e-24,1.0800000000000001e-26,Up,Up,1556051_a_at|231964_at|242228_at
PSD3,3,218613_at,2.04818421,5.7299999999999996e-24,1.1300000000000001e-26,Up,Up,218613_at|203354_s_at|203355_s_at
RNF150,3,236038_at,-2.13621127,6.5699999999999994e-24,1.31e-26,Down,Down,236038_at|229024_at|227657_at
ETV5,4,203349_s_at,1.79512148,6.74e-24,1.3600000000000002e-26,Up,Up,203349_s_at|203348_s_at|230102_at|216375_s_at
CCL21,1,204606_at,-3.43153172,8.27e-24,1.69e-26,Down,Down,204606_at
WDR72,3,236741_at,-2.43142526,8.69e-24,1.81e-26,Down,Down,236741_at|1563874_at|227174_at
SLC4A4,5,210738_s_at,-2.81211634,8.91e-24,1.8700000000000002e-26,Down,Down,210738_s_at|210739_x_at|211494_s_at|203908_at|1554027_a_at
CHST2,1,203921_at,1.80293844,8.93e-24,1.89e-26,Up,Up,203921_at
CSGALNACT1,1,219049_at,-2.27494706,9.09e-24,1.9500000000000002e-26,Down,Down,219049_at
RAB27A,5,209515_s_at,1.73904308,9.719999999999999e-24,2.11e-26,Up,Up,209515_s_at|222294_s_at|235766_x_at|210951_x_at|209514_s_at
KLHDC8A,2,222871_at,2.58159554,1.0799999999999999e-23,2.39e-26,Up,Up,222871_at|219331_s_at
CORO2A,2,227177_at,1.63438942,1.1399999999999999e-23,2.54e-26,Up,Up,227177_at|205538_at
TFCP2L1,3,219735_s_at,-1.95646079,1.2099999999999999e-23,2.7100000000000004e-26,Down,Down,219735_s_at|227642_at|229341_at
KCNJ2,1,206765_at,3.82233277,1.36e-23,3.09e-26,Up,Up,206765_at
CITED1,1,207144_s_at,4.03209337,1.55e-23,3.55e-26,Up,Up,207144_s_at
ZCCHC12,1,228715_at,5.57565691,1.61e-23,3.7100000000000004e-26,Up,Up,228715_at
C4orf48,1,229860_x_at,1.81495681,1.6299999999999997e-23,3.78e-26,Up,Up,229860_x_at
NEURL1B,1,225355_at,1.66872198,2.64e-23,6.220000000000001e-26,Up,Up,225355_at
PGM5,1,226303_at,-1.95102763,2.69e-23,6.45e-26,Down,Down,226303_at
IER5L,2,226552_at,1.34968499,2.81e-23,6.79e-26,Up,Up,226552_at|226559_at
CLDN1,2,222549_at,4.17020022,2.9099999999999996e-23,7.080000000000001e-26,Up,Up,222549_at|218182_s_at
LINGO2,1,232720_at,-1.88602578,3.36e-23,8.240000000000001e-26,Down,Down,232720_at
SCARA5,2,229839_at,-2.84932376,3.5e-23,8.710000000000001e-26,Down,Down,229839_at|235849_at
ATP2C2,2,206043_s_at,-1.96528221,3.9299999999999995e-23,9.850000000000001e-26,Down,Down,206043_s_at|214798_at
FAXC,1,232067_at,2.5428831,5.0899999999999995e-23,1.29e-25,Up,Up,232067_at
ABCC3,2,208161_s_at,2.37750684,5.1299999999999997e-23,1.32e-25,Up,Up,208161_s_at|209641_s_at
TLE1,3,228284_at,-1.76847144,5.1299999999999997e-23,1.32e-25,Down,Down,228284_at|203221_at|203222_s_at
IGSF10,1,230670_at,-1.26754079,5.1299999999999997e-23,1.32e-25,Down,Down,230670_at
CFD,1,205382_s_at,-2.13656144,5.969999999999999e-23,1.56e-25,Down,Down,205382_s_at
TNFRSF10C,3,211163_s_at,2.18686814,6.61e-23,1.74e-25,Up,Up,211163_s_at|234644_x_at|206222_at
LAYN,1,228080_at,-1.83414714,6.909999999999999e-23,1.85e-25,Down,Down,228080_at
MAP4K4,2,218181_s_at,1.17128161,6.909999999999999e-23,1.8299999999999999e-25,Up,Up,218181_s_at|206571_s_at
SCEL,3,206884_s_at,3.89948478,6.969999999999999e-23,1.88e-25,Up,Up,206884_s_at|232056_at|1554921_a_at
TBC1D4,2,203387_s_at,-1.54181671,7.169999999999999e-23,1.94e-25,Down,Down,203387_s_at|203386_at
PLAU,2,205479_s_at,3.53993186,8.849999999999999e-23,2.44e-25,Up,Up,205479_s_at|211668_s_at
ODAM,1,220133_at,-1.72781709,9.769999999999999e-23,2.72e-25,Down,Down,220133_at
STAB2,1,220114_s_at,-1.23423976,1.0300000000000001e-22,2.89e-25,Down,Down,220114_s_at
IGFBPL1,1,227760_at,-2.77398886,1.07e-22,3.05e-25,Down,Down,227760_at
NR2F1-AS1,3,229014_at,1.86126222,1.09e-22,3.13e-25,Up,Up,229014_at|1556696_s_at|1556695_a_at
ADAMTS9,3,226814_at,2.78401537,1.1200000000000001e-22,3.23e-25,Up,Up,226814_at|1554697_at|220287_at
TPPP,2,230104_s_at,-1.99815198,1.15e-22,3.36e-25,Down,Down,230104_s_at|206179_s_at
CRABP1,1,205350_at,-3.46497914,1.24e-22,3.62e-25,Down,Down,205350_at
ARHGAP24,4,230803_s_at,-1.55979037,1.2500000000000001e-22,3.68e-25,Down,Down,230803_s_at|221030_s_at|223422_s_at|230802_at
TMEM171,2,1553559_at,-1.46436561,1.34e-22,3.9999999999999997e-25,Down,Down,1553559_at|240770_at
GPM6A,2,209470_s_at,-3.40666754,1.43e-22,4.3e-25,Down,Down,209470_s_at|209469_at
EMILIN2,2,224374_s_at,1.92656968,1.46e-22,4.42e-25,Up,Up,224374_s_at|242288_s_at
PDZK1IP1,2,219630_at,3.56227416,1.55e-22,4.77e-25,Up,Up,219630_at|1553589_a_at
NMNAT3,1,228090_at,-1.17565607,1.55e-22,4.73e-25,Down,Down,228090_at
MRO,2,231358_at,-2.57066525,1.63e-22,5.0499999999999995e-25,Down,Down,231358_at|224323_s_at
RASSF9,2,210335_at,-1.59449151,1.98e-22,6.25e-25,Down,Down,210335_at|241470_x_at
LOC100507472,1,207414_s_at,-1.0025989,2.15e-22,6.9e-25,Down,Down,207414_s_at
PCSK6,1,207414_s_at,-1.0025989,2.15e-22,6.9e-25,Down,Down,207414_s_at
FRMD3,3,230645_at,2.78348116,2.28e-22,7.39e-25,Up,Up,230645_at|229893_at|242600_at
LOC100506558,1,202350_s_at,-2.453298,2.28e-22,7.329999999999999e-25,Down,Down,202350_s_at
MATN2,1,202350_s_at,-2.453298,2.28e-22,7.329999999999999e-25,Down,Down,202350_s_at
BCL2,2,203685_at,-1.71633253,2.7900000000000003e-22,9.19e-25,Down,Down,203685_at|203684_s_at
TNRC6C-AS1,3,230526_at,1.83192265,2.89e-22,9.63e-25,Up,Up,230526_at|242364_x_at|239062_at
WSCD2,1,229032_at,-2.3157449,3.11e-22,1.04e-24,Down,Down,229032_at
NGEF,1,227240_at,2.27355636,3.11e-22,1.05e-24,Up,Up,227240_at
NOD1,2,221073_s_at,1.68767411,3.11e-22,1.05e-24,Up,Up,221073_s_at|224190_x_at
FAM20A,4,226804_at,2.88667254,3.68e-22,1.26e-24,Up,Up,226804_at|242945_at|241981_at|243221_at
BEX1,1,218332_at,-3.18669281,3.7000000000000005e-22,1.2699999999999999e-24,Down,Down,218332_at
EPHB1,3,230425_at,-2.69344064,3.9000000000000004e-22,1.3499999999999999e-24,Down,Down,230425_at|211898_s_at|210753_s_at
CCDC146,1,227091_at,-1.93101652,4e-22,1.39e-24,Down,Down,227091_at
ETV4,2,211603_s_at,1.09982102,4.87e-22,1.71e-24,Up,Up,211603_s_at|1554576_a_at
CWH43,2,220724_at,-2.72682288,5.07e-22,1.7999999999999997e-24,Down,Down,220724_at|220723_s_at
SEMA3F,2,35666_at,1.17803291,5.54e-22,1.98e-24,Up,Up,35666_at|206832_s_at
PDE5A,4,227088_at,2.33804893,5.63e-22,2.0299999999999998e-24,Up,Up,227088_at|240088_at|206757_at|1553175_s_at
PDLIM3,2,209621_s_at,-1.937831,5.91e-22,2.14e-24,Down,Down,209621_s_at|210170_at
MRC2,1,37408_at,2.00327843,6.44e-22,2.34e-24,Up,Up,37408_at
TBC1D2,1,222173_s_at,1.34991263,7.55e-22,2.7899999999999998e-24,Up,Up,222173_s_at
RPS6KA5,2,204633_s_at,-1.43790398,7.77e-22,2.88e-24,Down,Down,204633_s_at|204635_at
MET,4,203510_at,2.1436749,7.95e-22,2.97e-24,Up,Up,203510_at|213816_s_at|211599_x_at|213807_x_at
THRSP,3,229476_s_at,3.5151753,8.1500000000000005e-22,3.0599999999999998e-24,Up,Up,229476_s_at|229477_at|1553583_a_at
S100A11,1,200660_at,1.28693198,8.59e-22,3.24e-24,Up,Up,200660_at
GJB3,2,215243_s_at,1.47256517,9.25e-22,3.5e-24,Up,Up,215243_s_at|205490_x_at
RGS8,1,244675_at,-2.84177469,9.62e-22,3.66e-24,Down,Down,244675_at
FGF1,2,205117_at,1.37294125,1.05e-21,4.02e-24,Up,Up,205117_at|1552721_a_at
MYZAP,1,228568_at,-1.08202303,1.1100000000000001e-21,4.2999999999999996e-24,Down,Down,228568_at
ADORA1,1,205481_at,1.96045874,1.16e-21,4.54e-24,Up,Up,205481_at
LAMB3,1,209270_at,2.90883547,1.19e-21,4.7e-24,Up,Up,209270_at
LOC100996643,1,225520_at,1.19550658,1.2e-21,4.7499999999999994e-24,Up,Up,225520_at
LOC101928195,1,225520_at,1.19550658,1.2e-21,4.7499999999999994e-24,Up,Up,225520_at
MTHFD1L,1,225520_at,1.19550658,1.2e-21,4.7499999999999994e-24,Up,Up,225520_at
C8orf88,2,228107_at,-1.92270088,1.2500000000000001e-21,5e-24,Down,Down,228107_at|1557961_s_at
LGALS3,1,208949_s_at,1.73342745,1.35e-21,5.4699999999999996e-24,Up,Up,208949_s_at
LIFR,4,205876_at,-2.0369277,1.5600000000000002e-21,6.37e-24,Down,Down,205876_at|227771_at|225575_at|225571_at
SERINC2,1,224762_at,1.34054478,1.75e-21,7.16e-24,Up,Up,224762_at
RPL31,1,241017_at,-1.73146153,1.7700000000000003e-21,7.299999999999999e-24,Down,Down,241017_at
TBC1D8,1,241017_at,-1.73146153,1.7700000000000003e-21,7.299999999999999e-24,Down,Down,241017_at
FAHD2A,2,222056_s_at,-1.17583104,1.7700000000000003e-21,7.32e-24,Down,Down,222056_s_at|218504_at
MVP,1,202180_s_at,1.51641984,1.79e-21,7.509999999999999e-24,Up,Up,202180_s_at
SYNDIG1,1,219310_at,-1.49313308,1.79e-21,7.45e-24,Down,Down,219310_at
CLCNKB,4,205985_x_at,-1.45857269,1.79e-21,7.48e-24,Down,Down,205985_x_at|207047_s_at|1554748_at|1554749_s_at
HIP1,3,226364_at,1.80614249,1.89e-21,8.02e-24,Up,Up,226364_at|205425_at|205426_s_at
ELMO1,1,204513_s_at,-2.03472172,1.98e-21,8.43e-24,Down,Down,204513_s_at
ISYNA1,1,222240_s_at,1.19853302,1.9900000000000003e-21,8.52e-24,Up,Up,222240_s_at
BMP1,1,205574_x_at,1.01875856,2.04e-21,8.769999999999999e-24,Up,Up,205574_x_at
QPCT,1,205174_s_at,3.01879206,2.14e-21,9.24e-24,Up,Up,205174_s_at
CCND1,2,208712_at,1.41542172,2.2100000000000003e-21,9.6e-24,Up,Up,208712_at|208711_s_at
TNXA,4,208609_s_at,-1.16271364,2.23e-21,9.69e-24,Down,Down,208609_s_at|216333_x_at|206093_x_at|213451_x_at
TNXB,4,208609_s_at,-1.16271364,2.23e-21,9.69e-24,Down,Down,208609_s_at|216333_x_at|206093_x_at|213451_x_at
PRSS23,3,226279_at,2.45149442,2.2400000000000003e-21,9.799999999999999e-24,Up,Up,226279_at|202458_at|229441_at
MARC2,3,219527_at,-1.25948992,2.3e-21,1.0099999999999999e-23,Down,Down,219527_at|221636_s_at|227417_at
ECE1,1,201749_at,1.08306925,2.3e-21,1.0199999999999999e-23,Up,Up,201749_at
GPR83,1,222953_at,-2.25194458,2.32e-21,1.03e-23,Down,Down,222953_at
CLCNKA,1,207047_s_at,-1.76545916,2.32e-21,1.03e-23,Down,Down,207047_s_at
LOC100506403,1,209360_s_at,2.13512224,2.39e-21,1.0699999999999998e-23,Up,Up,209360_s_at
LOC101928269,1,209360_s_at,2.13512224,2.39e-21,1.0699999999999998e-23,Up,Up,209360_s_at
RUNX1,1,209360_s_at,2.13512224,2.39e-21,1.0699999999999998e-23,Up,Up,209360_s_at
C8orf4,1,218541_s_at,2.86821731,3.0200000000000004e-21,1.36e-23,Up,Up,218541_s_at
GJC1,3,228776_at,2.05078529,3.0200000000000004e-21,1.36e-23,Up,Up,228776_at|243502_at|228563_at
GPR161,2,214104_at,1.20004223,3.1300000000000002e-21,1.42e-23,Up,Up,214104_at|230369_at
MTMR11,1,205076_s_at,1.60378977,3.3400000000000004e-21,1.5199999999999998e-23,Up,Up,205076_s_at
COL23A1,1,229168_at,-1.99132347,4.1e-21,1.9099999999999998e-23,Down,Down,229168_at
KCNQ3,1,228579_at,1.63014192,4.3600000000000006e-21,2.0399999999999998e-23,Up,Up,228579_at
KIAA1211L,1,228067_at,1.17634556,4.3600000000000006e-21,2.0399999999999998e-23,Up,Up,228067_at
DGKI,2,206806_at,-2.88549723,4.6900000000000004e-21,2.2199999999999997e-23,Down,Down,206806_at|240395_at
CAMK2N1,3,218309_at,2.65195997,5.040000000000001e-21,2.4e-23,Up,Up,218309_at|228302_x_at|229163_at
AGPAT4,1,228667_at,-1.64391595,5.040000000000001e-21,2.4199999999999998e-23,Down,Down,228667_at
CTH,2,206085_s_at,-1.48160882,5.040000000000001e-21,2.4199999999999998e-23,Down,Down,206085_s_at|217127_at
SBSPON,2,235210_s_at,-1.58045448,5.2400000000000006e-21,2.5299999999999997e-23,Down,Down,235210_s_at|235209_at
MFGE8,1,210605_s_at,1.73890215,5.3e-21,2.5699999999999998e-23,Up,Up,210605_s_at
DDX25,1,219945_at,-1.74102698,5.4e-21,2.6299999999999998e-23,Down,Down,219945_at
LOC100129129,2,1559871_s_at,-1.79144942,5.540000000000001e-21,2.71e-23,Down,Down,1559871_s_at|1559870_at
LPL,2,203549_s_at,2.75359031,5.72e-21,2.82e-23,Up,Up,203549_s_at|203548_s_at
DDB2,1,203409_at,1.36267073,5.72e-21,2.81e-23,Up,Up,203409_at
TNFSF15,2,229242_at,1.92950358,6.360000000000001e-21,3.1599999999999996e-23,Up,Up,229242_at|221085_at
SMAD9,2,227719_at,-1.81614321,6.6900000000000006e-21,3.35e-23,Down,Down,227719_at|206320_s_at
KCNK2,1,210261_at,-1.65058251,7.68e-21,3.9099999999999994e-23,Down,Down,210261_at
GHR,1,205498_at,-1.98877658,8.11e-21,4.1699999999999994e-23,Down,Down,205498_at
LRIG1,1,211596_s_at,-1.21031401,8.95e-21,4.6699999999999993e-23,Down,Down,211596_s_at
SORBS2,6,225728_at,-1.75101543,8.980000000000001e-21,4.7e-23,Down,Down,225728_at|204288_s_at|227827_at|227826_s_at|238751_at|233720_at
BMP8A,2,220203_at,-2.14979561,9.790000000000001e-21,5.1399999999999997e-23,Down,Down,220203_at|220204_s_at
COL8A1,2,226237_at,1.52884372,9.790000000000001e-21,5.16e-23,Up,Up,226237_at|214587_at
PLXND1,2,38671_at,1.05527123,1.18e-20,6.259999999999999e-23,Up,Up,38671_at|212235_at
NPDC1,1,218086_at,1.21416842,1.34e-20,7.229999999999999e-23,Up,Up,218086_at
FNDC4,1,218843_at,1.19572663,1.34e-20,7.26e-23,Up,Up,218843_at
IGF2BP2,1,218847_at,1.60764659,1.38e-20,7.55e-23,Up,Up,218847_at
ADGRV1,1,223582_at,-1.49721963,1.4e-20,7.669999999999999e-23,Down,Down,223582_at
TTC30A,1,213679_at,-1.61473295,1.42e-20,7.819999999999999e-23,Down,Down,213679_at
EFHD2,2,222483_at,1.57475935,1.5e-20,8.329999999999999e-23,Up,Up,222483_at|217992_s_at
DIO2,4,211215_x_at,-1.24629935,1.51e-20,8.379999999999999e-23,Down,Down,211215_x_at|203699_s_at|231240_at|203700_s_at
MLF1,2,204783_at,-1.73294862,1.58e-20,8.809999999999999e-23,Down,Down,204783_at|204784_s_at
CCDC85A,1,235228_at,-1.56590105,1.66e-20,9.28e-23,Down,Down,235228_at
ADGRA3,1,210473_s_at,-1.516014,1.68e-20,9.439999999999999e-23,Down,Down,210473_s_at
HGD,3,205221_at,-2.39305719,1.83e-20,1.0300000000000001e-22,Down,Down,205221_at|214308_s_at|214307_at
EFNA5,2,233814_at,-1.54567448,2.01e-20,1.14e-22,Down,Down,233814_at|227955_s_at
ALDH1A3,1,203180_at,2.6880971,2.03e-20,1.16e-22,Up,Up,203180_at
ROR2,1,205578_at,-1.76653119,2.1e-20,1.2e-22,Down,Down,205578_at
WFS1,2,1555270_a_at,-1.31110385,2.1e-20,1.21e-22,Down,Down,1555270_a_at|202908_at
AADACP1,1,1569582_at,-2.32257243,2.36e-20,1.37e-22,Down,Down,1569582_at
RASAL2,3,227036_at,1.02231854,2.61e-20,1.52e-22,Up,Up,227036_at|222810_s_at|1557432_at
DPP6,2,207789_s_at,-2.30623273,2.63e-20,1.5400000000000001e-22,Down,Down,207789_s_at|228546_at
LGALS1,1,201105_at,1.61807665,2.71e-20,1.6000000000000002e-22,Up,Up,201105_at
NEGR1,2,243357_at,-1.18555194,2.71e-20,1.6000000000000002e-22,Down,Down,243357_at|229461_x_at
LOC100507165,1,236640_at,2.00393176,3.1e-20,1.83e-22,Up,Up,236640_at
AVPR1A,2,238835_at,-2.53627102,3.25e-20,1.94e-22,Down,Down,238835_at|242680_at
LOC101929480,1,231334_at,-2.03216011,3.29e-20,1.97e-22,Down,Down,231334_at
KISS1R,1,242517_at,1.83049121,3.34e-20,2.02e-22,Up,Up,242517_at
TBX1,1,236926_at,-1.04651524,3.34e-20,2.01e-22,Down,Down,236926_at
DTX4,1,212611_at,2.12034399,3.41e-20,2.07e-22,Up,Up,212611_at
PARP14,1,224701_at,1.29515712,3.69e-20,2.26e-22,Up,Up,224701_at
ALDH3B1,1,205640_at,1.26660639,4.01e-20,2.47e-22,Up,Up,205640_at
KLHL2,1,219157_at,1.01450064,4.1e-20,2.54e-22,Up,Up,219157_at
TIAM1,1,213135_at,2.50218636,4.15e-20,2.58e-22,Up,Up,213135_at
IQCG,1,221185_s_at,-1.33988949,4.34e-20,2.72e-22,Down,Down,221185_s_at
ZMAT4,1,219877_at,-2.34686855,4.47e-20,2.8200000000000003e-22,Down,Down,219877_at
LOC440934,1,238727_at,-2.62102331,4.64e-20,2.94e-22,Down,Down,238727_at
MYO6,1,203216_s_at,1.01704006,4.82e-20,3.0800000000000003e-22,Up,Up,203216_s_at
LINC00982,1,242269_at,-1.27364307,4.94e-20,3.18e-22,Down,Down,242269_at
TPO,1,210342_s_at,-3.18657193,4.97e-20,3.21e-22,Down,Down,210342_s_at
BID,3,227143_s_at,1.67145196,5e-20,3.24e-22,Up,Up,227143_s_at|204493_at|211725_s_at
SOD3,1,205236_x_at,-1.58809759,5.22e-20,3.42e-22,Down,Down,205236_x_at
KIT,1,205051_s_at,-2.85368532,5.31e-20,3.49e-22,Down,Down,205051_s_at
GOLT1A,1,229372_at,1.9664956,5.5e-20,3.62e-22,Up,Up,229372_at
FMOD,1,202709_at,-1.4940186,5.65e-20,3.74e-22,Down,Down,202709_at
SEMA3D,1,215324_at,-1.52176488,6.1e-20,4.07e-22,Down,Down,215324_at
CDC14B,1,221556_at,-1.14241353,6.1e-20,4.06e-22,Down,Down,221556_at
UPP1,1,203234_at,1.57163822,6.18e-20,4.13e-22,Up,Up,203234_at
PHLDA2,1,209803_s_at,1.84616693,6.45e-20,4.33e-22,Up,Up,209803_s_at
PDLIM4,3,214175_x_at,2.06929874,6.52e-20,4.4e-22,Up,Up,214175_x_at|211564_s_at|218691_s_at
TMC6,2,204328_at,1.92064052,6.71e-20,4.55e-22,Up,Up,204328_at|214958_s_at
CCND2,1,200951_s_at,1.06586933,6.82e-20,4.65e-22,Up,Up,200951_s_at
