ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,neg_log10_adjP,DEG_status
210432_s_at,5.22e-18,5.63e-20,-11.6428299,34.9542394,-1.97014989,SCN3A,sodium voltage-gated channel alpha subunit 3,17.2823294969977,Down
205425_at,5.22e-18,5.62e-20,11.6431393,34.9557166,1.88412144,HIP1,huntingtin interacting protein 1,17.2823294969977,Up
217546_at,5.49e-18,5.94e-20,-11.6316615,34.9009207,-2.33509145,MT1M,metallothionein 1M,17.2604276555499,Down
201416_at,6.19e-18,6.78e-20,11.6042992,34.7702486,1.58867262,SOX4,SRY-box 4,17.2083093509799,Up
227176_at,6.19e-18,6.77e-20,11.6048066,34.7726726,1.40990097,SLC2A13,solute carrier family 2 member 13,17.2083093509799,Up
220108_at,6.25e-18,6.85e-20,-11.6021653,34.7600556,-1.83910536,GNA14,G protein subunit alpha 14,17.2041199826559,Down
227289_at,6.4e-18,7.04e-20,11.5966354,34.7336389,1.46821736,PCDH17,protocadherin 17,17.1938200260161,Up
201417_at,6.46e-18,7.12e-20,11.5943081,34.7225204,1.07391971,SOX4,SRY-box 4,17.1897674820049,Up
203889_at,6.53e-18,7.22e-20,11.5914601,34.7089138,2.53939382,SCG5,secretogranin V,17.1850868187249,Up
202588_at,6.53e-18,7.21e-20,11.5917792,34.7104385,1.05663653,AK1,adenylate kinase 1,17.1850868187249,Up
236313_at,7.15e-18,7.94e-20,11.5716527,34.614265,2.27534694,CDKN2B,cyclin dependent kinase inhibitor 2B,17.1456939581989,Up
213188_s_at,7.21e-18,8.01e-20,-11.5697651,34.6052436,-1.01960189,MINA,MYC induced nuclear antigen,17.1420647352806,Down
209292_at,7.29e-18,8.12e-20,-11.5670183,34.5921155,-1.31651224,ID4,"inhibitor of DNA binding 4, HLH protein",17.137272471682,Down
239349_at,7.34e-18,8.19e-20,-11.5652318,34.5835765,-1.53114246,C1QTNF7,C1q and tumor necrosis factor related protein 7,17.1343039400839,Down
202908_at,7.34e-18,8.2e-20,-11.5649755,34.5823512,-1.26301553,WFS1,wolframin ER transmembrane glycoprotein,17.1343039400839,Down
218611_at,7.5e-18,8.42e-20,11.5595301,34.5563227,1.11236146,IER5,immediate early response 5,17.1249387366083,Up
209599_s_at,7.5e-18,8.44e-20,-11.5590551,34.5540522,-1.05255935,PRUNE1,prune exopolyphosphatase,17.1249387366083,Down
240088_at,7.58e-18,8.54e-20,11.5564998,34.5418368,1.19747119,PDE5A,phosphodiesterase 5A,17.1203307943679,Up
233234_at,7.83e-18,8.86e-20,-11.5489761,34.5058685,-1.06733403,KCTD16,potassium channel tetramerization domain containing 16,17.1062382379421,Down
226615_at,8.24e-18,9.38e-20,11.5372686,34.4498899,1.18716523,XPR1,xenotropic and polytropic retrovirus receptor 1,17.0840727883029,Up
243386_at,8.29e-18,9.45e-20,-11.5356806,34.4422964,-1.32173536,CASZ1,castor zinc finger 1,17.0814454694497,Down
209035_at,8.33e-18,9.51e-20,11.5342736,34.4355679,1.75254089,MDK,midkine (neurite growth-promoting factor 2),17.0793549985932,Up
213234_at,8.5e-18,9.73e-20,-11.5296341,34.4133809,-1.25664488,FAM234B,family with sequence similarity 234 member B,17.0705810742857,Down
243278_at,8.99e-18,1.03e-19,-11.5170688,34.3532816,-2.70816208,FOXP2,forkhead box P2,17.0462403082668,Down
228249_at,9.16e-18,1.06e-19,-11.5121783,34.3298877,-1.96526728,C11orf74,chromosome 11 open reading frame 74,17.0381045263321,Down
219773_at,9.35e-18,1.08e-19,11.5074531,34.3072822,1.92468793,NOX4,NADPH oxidase 4,17.0291883891275,Up
202995_s_at,1.02e-17,1.19e-19,-11.4886383,34.2172567,-2.36714719,FBLN1,fibulin 1,16.9913998282381,Down
228242_at,1.1e-17,1.28e-19,-11.4723143,34.139127,-1.00847611,N4BP2,NEDD4 binding protein 2,16.9586073148418,Down
203817_at,1.11e-17,1.3e-19,11.4700022,34.1280596,1.20730928,GUCY1B3,guanylate cyclase 1 soluble subunit beta,16.9546770212133,Up
202920_at,1.14e-17,1.34e-19,-11.463392,34.0964152,-2.30241724,ANK2,"ankyrin 2, neuronal",16.9430951486635,Down
219277_s_at,1.14e-17,1.34e-19,-11.4638497,34.0986063,-2.23686186,OGDHL,oxoglutarate dehydrogenase-like,16.9430951486635,Down
219077_s_at,1.14e-17,1.34e-19,-11.46293,34.0942033,-1.19567555,WWOX,WW domain containing oxidoreductase,16.9430951486635,Down
209990_s_at,1.15e-17,1.36e-19,11.4597459,34.0789591,2.54620838,GABBR2,gamma-aminobutyric acid type B receptor subunit 2,16.9393021596464,Up
206403_at,1.21e-17,1.44e-19,-11.447849,34.0219949,-1.070106,ZNF536,zinc finger protein 536,16.9172146296835,Down
239543_s_at,1.25e-17,1.49e-19,11.4412101,33.9902024,1.3801036,,,16.9030899869919,Up
212830_at,1.3e-17,1.55e-19,11.4327322,33.9495983,1.26328065,MEGF9,multiple EGF like domains 9,16.8860566476932,Up
210951_x_at,1.37e-17,1.65e-19,11.4206862,33.8918963,1.65372568,RAB27A,"RAB27A, member RAS oncogene family",16.8632794328436,Up
209291_at,1.58e-17,1.9e-19,-11.3911778,33.7505025,-1.04071773,ID4,"inhibitor of DNA binding 4, HLH protein",16.8013429130456,Down
219295_s_at,1.59e-17,1.92e-19,-11.389022,33.7401702,-1.75601795,PCOLCE2,procollagen C-endopeptidase enhancer 2,16.7986028756795,Down
211833_s_at,1.67e-17,2.03e-19,11.3776912,33.685858,1.05397594,BAX,"BCL2 associated X, apoptosis regulator",16.7772835288524,Up
204424_s_at,1.68e-17,2.05e-19,11.3759728,33.6776207,1.36599748,LMO3,LIM domain only 3,16.7746907182741,Up
226446_at,1.79e-17,2.18e-19,11.3624619,33.6128452,1.35049416,HES6,hes family bHLH transcription factor 6,16.7471469690201,Up
202637_s_at,1.81e-17,2.21e-19,11.3597972,33.6000682,1.66726074,ICAM1,intercellular adhesion molecule 1,16.7423214251308,Up
226065_at,1.84e-17,2.26e-19,11.3558809,33.5812895,1.65537926,PRICKLE1,prickle planar cell polarity protein 1,16.7351821769905,Up
214505_s_at,1.88e-17,2.3e-19,-11.3519728,33.5625482,-1.8897909,FHL1,four and a half LIM domains 1,16.7258421507363,Down
241672_at,1.89e-17,2.31e-19,-11.3505144,33.5555544,-2.75441092,SERTM1,serine rich and transmembrane domain containing 1,16.7235381958268,Down
227997_at,1.91e-17,2.36e-19,11.3467187,33.537351,1.73181921,IL17RD,interleukin 17 receptor D,16.7189666327523,Up
220520_s_at,1.91e-17,2.35e-19,-11.3470087,33.5387421,-1.46738968,NUP62CL,nucleoporin 62 C-terminal like,16.7189666327523,Down
229634_at,2.03e-17,2.51e-19,-11.3341246,33.4769458,-1.56143164,TMEM139,transmembrane protein 139,16.6925039620868,Down
228656_at,2.05e-17,2.54e-19,-11.331242,33.4631179,-2.01843161,PROX1,prospero homeobox 1,16.6882461389442,Down
227614_at,2.14e-17,2.66e-19,-11.3216176,33.4169466,-1.71655365,HKDC1,hexokinase domain containing 1,16.6695862266508,Down
230776_at,2.23e-17,2.77e-19,-11.3131783,33.3764552,-1.96817692,RNF157-AS1,RNF157 antisense RNA 1,16.6516951369518,Down
229160_at,2.26e-17,2.81e-19,-11.310181,33.3620727,-2.80013314,MUM1L1,MUM1 like 1,16.6458915608526,Down
218084_x_at,2.27e-17,2.83e-19,11.3090379,33.3565878,1.8550103,FXYD5,FXYD domain containing ion transport regulator 5,16.6439741428069,Up
204979_s_at,2.28e-17,2.85e-19,-11.3072565,33.3480395,-1.25874195,SH3BGR,SH3 domain binding glutamate rich protein,16.6420651529995,Down
229778_at,2.29e-17,2.87e-19,-11.3061143,33.3425583,-2.90990205,SPX,spexin hormone,16.6401645176601,Down
212845_at,2.34e-17,2.94e-19,11.3014728,33.3202842,1.24910344,SAMD4A,sterile alpha motif domain containing 4A,16.6307841425899,Up
224252_s_at,2.36e-17,2.96e-19,11.2995575,33.3110922,1.81891959,FXYD5,FXYD domain containing ion transport regulator 5,16.6270879970299,Up
224323_s_at,2.38e-17,3e-19,-11.2967579,33.2976565,-1.22224565,MRO,maestro,16.6234230429435,Down
219763_at,2.38e-17,3e-19,11.2973383,33.3004417,1.08712902,DENND1A,DENN domain containing 1A,16.6234230429435,Up
212599_at,2.48e-17,3.15e-19,11.2867587,33.2496627,1.6016303,AUTS2,autism susceptibility candidate 2,16.6055483191738,Up
