category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Infectious disease: bacterial	hsa05130	Pathogenic Escherichia coli infection	18/73	200/9395	7.37101421575488e-15	5.30237474230109e-14	1.35156118047797e-14	BAX/CASP3/CASP8/CASP9/CXCL8/CYCS/FADD/IL1B/IL1R1/IL6/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/RELA/RIPK1/TNF	18
Human Diseases	Cancer: overview	hsa05205	Proteoglycans in cancer	18/73	204/9395	1.0457169071954e-14	7.28733969701797e-14	1.85752345357078e-14	AKT1/CASP3/CDKN1A/COL1A1/ESR1/FN1/HIF1A/MAPK1/MAPK14/MAPK3/MMP2/MTOR/MYC/PIK3R1/SHH/TGFB1/TNF/TP53	18
Human Diseases	Infectious disease: bacterial	hsa05133	Pertussis	13/73	78/9395	1.82384332831136e-14	1.23247594610131e-13	3.14154831670856e-14	CASP3/CXCL8/IL10/IL1A/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/RELA/TNF	13
Human Diseases	Infectious disease: viral	hsa05170	Human immunodeficiency virus 1 infection	18/73	214/9395	2.42688626850736e-14	1.59175187610924e-13	4.0573330804767e-14	AKT1/BAX/BCL2/CASP3/CASP8/CASP9/CYCS/FADD/MAPK1/MAPK14/MAPK3/MAPK8/MTOR/NFKB1/PIK3R1/RELA/RIPK1/TNF	18
Organismal Systems	Immune system	hsa04625	C-type lectin receptor signaling pathway	14/73	105/9395	4.17934720069481e-14	2.6628412164426897e-13	6.78751124323367e-14	AKT1/CASP8/IL10/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/PIK3R1/PTGS2/RELA/TNF	14
Human Diseases	Infectious disease: bacterial	hsa05135	Yersinia infection	15/73	138/9395	1.04123269314564e-13	6.44985807142997e-13	1.64405162075628e-13	AKT1/CCL2/CXCL8/FN1/IL10/IL1B/IL6/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/PIK3R1/RELA/TNF	15
Human Diseases	Infectious disease: bacterial	hsa05134	Legionellosis	11/73	56/9395	3.21466694389592e-13	1.93748845537511e-12	4.93860640029529e-13	CASP3/CASP8/CASP9/CXCL1/CXCL8/CYCS/IL1B/IL6/NFKB1/RELA/TNF	11
Human Diseases	Cancer: specific types	hsa05220	Chronic myeloid leukemia	12/73	77/9395	4.65692181779422e-13	2.7328778036002898e-12	6.96603263603568e-13	AKT1/BAX/CDKN1A/CDKN2A/MAPK1/MAPK3/MYC/NFKB1/PIK3R1/RELA/TGFB1/TP53	12
Organismal Systems	Endocrine system	hsa04926	Relaxin signaling pathway	14/73	130/9395	8.58606200965051e-13	4.90946622603093e-12	1.2514098475604e-12	ACTA2/AKT1/COL1A1/COL3A1/MAPK1/MAPK14/MAPK3/MAPK8/MMP2/NFKB1/NOS3/PIK3R1/RELA/TGFB1	14
Cellular Processes	Cell growth and death	hsa04215	Apoptosis - multiple species	9/73	32/9395	1.5097280887563799e-12	8.41673409481683e-12	2.14540307349591e-12	BAX/BCL2/BECN1/CASP3/CASP8/CASP9/CYCS/FADD/MAPK8	9
Environmental Information Processing	Signal transduction	hsa04066	HIF-1 signaling pathway	13/73	110/9395	1.8107271430332899e-12	9.84858909503475e-12	2.51037909432087e-12	AKT1/BCL2/CDKN1A/HIF1A/HMOX1/IL6/MAPK1/MAPK3/MTOR/NFKB1/NOS3/PIK3R1/RELA	13
Organismal Systems	Development and regeneration	hsa04380	Osteoclast differentiation	14/73	142/9395	2.93225722932001e-12	1.5568889574722898e-11	3.96846843065866e-12	AKT1/IL1A/IL1B/IL1R1/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/PIK3R1/RELA/SQSTM1/TGFB1/TNF	14
Human Diseases	Endocrine and metabolic disease	hsa04936	Alcoholic liver disease	14/73	144/9395	3.5580001997634398e-12	1.8451954524354597e-11	4.703353997239309e-12	AKT1/CASP3/CASP8/CXCL1/CXCL8/FADD/IL1B/IL6/MAPK14/MAPK8/NFKB1/RELA/RIPK1/TNF	14
Organismal Systems	Endocrine system	hsa04917	Prolactin signaling pathway	11/73	71/9395	5.04522783211763e-12	2.5570131967323397e-11	6.51775844340554e-12	AKT1/CYP17A1/ESR1/ESR2/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/PIK3R1/RELA	11
Human Diseases	Neurodegenerative disease	hsa05010	Alzheimer disease	20/73	388/9395	7.36655785742465e-12	3.6505386715682195e-11	9.305125714641669e-12	AKT1/BECN1/CASP3/CASP8/CASP9/CYCS/DDIT3/FADD/IL1A/IL1B/IL6/MAPK1/MAPK3/MAPK8/MTOR/NFKB1/PIK3R1/PTGS2/RELA/TNF	20
Environmental Information Processing	Signal transduction	hsa04010	MAPK signaling pathway	18/73	300/9395	8.06829577365725e-12	3.9113694728816696e-11	9.969976470880819e-12	AKT1/AREG/CASP3/CDC25B/DDIT3/IL1A/IL1B/IL1R1/MAPK1/MAPK14/MAPK3/MAPK8/MYC/NFKB1/RELA/TGFB1/TNF/TP53	18
Environmental Information Processing	Signal transduction	hsa04071	Sphingolipid signaling pathway	13/73	125/9395	9.55696409430844e-12	4.5344744532569795e-11	1.1558254447763899e-11	AKT1/BAX/BCL2/MAPK1/MAPK14/MAPK3/MAPK8/NFKB1/NOS3/PIK3R1/RELA/TNF/TP53	13
Human Diseases	Infectious disease: viral	hsa05166	Human T-cell leukemia virus 1 infection	16/73	224/9395	1.0101808062309399e-11	4.69313166228122e-11	1.1962667442208498e-11	AKT1/BAX/CDKN1A/CDKN2A/IL1R1/IL6/MAPK1/MAPK3/MAPK8/MYC/NFKB1/PIK3R1/RELA/TGFB1/TNF/TP53	16
Human Diseases	Infectious disease: parasitic	hsa05140	Leishmaniasis	11/73	78/9395	1.4686640698680498e-11	6.6839201547056e-11	1.70371342154403e-11	IL10/IL1A/IL1B/MAPK1/MAPK14/MAPK3/NFKB1/PTGS2/RELA/TGFB1/TNF	11
Human Diseases	Cancer: specific types	hsa05219	Bladder cancer	9/73	41/9395	1.78400584647574e-11	7.956666075281789e-11	2.0281329623092597e-11	CDH1/CDKN1A/CDKN2A/CXCL8/MAPK1/MAPK3/MMP2/MYC/TP53	9
Human Diseases	Cancer: specific types	hsa05213	Endometrial cancer	10/73	59/9395	1.9676327583345898e-11	8.59301321992562e-11	2.190336152353e-11	AKT1/BAX/CASP9/CDH1/CDKN1A/MAPK1/MAPK3/MYC/PIK3R1/TP53	10
Environmental Information Processing	Signal transduction	hsa04151	PI3K-Akt signaling pathway	19/73	362/9395	2.0037519615970097e-11	8.59301321992562e-11	2.190336152353e-11	AKT1/AREG/BCL2/CASP9/CDKN1A/COL1A1/FN1/IL6/MAPK1/MAPK3/MCL1/MTOR/MYC/NFKB1/NOS3/PIK3R1/RELA/SGK1/TP53	19
Environmental Information Processing	Signal transduction	hsa04068	FoxO signaling pathway	13/73	133/9395	2.12394386709672e-11	8.936594006840929e-11	2.27791397861416e-11	AKT1/CAT/CDKN1A/IL10/IL6/MAPK1/MAPK14/MAPK3/MAPK8/PIK3R1/SGK1/SOD2/TGFB1	13
Organismal Systems	Immune system	hsa04659	Th17 cell differentiation	12/73	109/9395	3.2721099632814894e-11	1.35126022557736e-10	3.4443262771384096e-11	HIF1A/IL1B/IL1R1/IL6/MAPK1/MAPK14/MAPK3/MAPK8/MTOR/NFKB1/RELA/TGFB1	12
Human Diseases	Cancer: specific types	hsa05226	Gastric cancer	13/73	150/9395	9.830982970264819e-11	3.9860167315801003e-10	1.0160250342474601e-10	AKT1/BAX/BCL2/CDH1/CDKN1A/MAPK1/MAPK3/MTOR/MYC/PIK3R1/SHH/TGFB1/TP53	13
