ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0042593	glucose homeostasis	6/74	251/18870	0.0004539429533525	0.0016642897413934	0.0006431167526782	AKT1/CASR/GPX1/HIF1A/IL6/PIK3R1	6
BP	GO:0046883	regulation of hormone secretion	6/74	251/18870	0.0004539429533525	0.0016642897413934	0.0006431167526782	CASR/CYP19A1/HIF1A/IL1B/IL6/TNF	6
BP	GO:0033500	carbohydrate homeostasis	6/74	252/18870	0.0004635865814344	0.0016977639255856	0.0006560518853662	AKT1/CASR/GPX1/HIF1A/IL6/PIK3R1	6
BP	GO:0002443	leukocyte mediated immunity	8/74	466/18870	0.0004712066950682	0.0017237616599452	0.0006660979597261	FADD/IL10/IL1B/IL1R1/IL6/TGFB1/TLR9/TNF	8
BP	GO:0050796	regulation of insulin secretion	5/74	165/18870	0.0004763689752111	0.0017372298302134	0.0006713023455442	CASR/HIF1A/IL1B/IL6/TNF	5
BP	GO:0010762	regulation of fibroblast migration	3/74	39/18870	0.0004780402617158	0.0017372298302134	0.0006713023455442	ACTA2/AKT1/TGFB1	3
BP	GO:0014037	Schwann cell differentiation	3/74	39/18870	0.0004780402617158	0.0017372298302134	0.0006713023455442	AKT1/RELA/SOD1	3
BP	GO:0032885	regulation of polysaccharide biosynthetic process	3/74	39/18870	0.0004780402617158	0.0017372298302134	0.0006713023455442	AKT1/NFKB1/TGFB1	3
BP	GO:0055094	response to lipoprotein particle	3/74	39/18870	0.0004780402617158	0.0017372298302134	0.0006713023455442	AKT1/CASR/TGFB1	3
BP	GO:0070229	negative regulation of lymphocyte apoptotic process	3/74	39/18870	0.0004780402617158	0.0017372298302134	0.0006713023455442	BCL2/FADD/HIF1A	3
BP	GO:1901990	regulation of mitotic cell cycle phase transition	7/74	355/18870	0.0004798423919745	0.001741864753304	0.0006730933778463	AKT1/BCL2/CCL2/CDC25B/CDKN1A/CDKN2A/TP53	7
BP	GO:0001942	hair follicle development	4/74	93/18870	0.0004887167686878	0.0017721341601431	0.0006847901167901	BCL2/RELA/SHH/TNF	4
BP	GO:0007519	skeletal muscle tissue development	5/74	166/18870	0.0004896774258569	0.0017736727790896	0.0006853846716899	BCL2/GPX1/MAPK14/SHH/TGFB1	5
BP	GO:0044772	mitotic cell cycle phase transition	8/74	470/18870	0.0004985566719767	0.0018038587683009	0.0006970491762982	AKT1/BCL2/CCL2/CDC25B/CDKN1A/CDKN2A/MYC/TP53	8
BP	GO:0001656	metanephros development	4/74	94/18870	0.0005089337802596	0.0018373842918326	0.0007100041475927	BCL2/CXCR2/MYC/SHH	4
BP	GO:0019915	lipid storage	4/74	94/18870	0.0005089337802596	0.0018373842918326	0.0007100041475927	IL1B/IL6/NFKB1/TNF	4
BP	GO:0008210	estrogen metabolic process	3/74	40/18870	0.0005153494983432	0.0018585177655627	0.0007181705687753	CYP19A1/CYP1A2/CYP2D6	3
BP	GO:0072091	regulation of stem cell proliferation	4/74	95/18870	0.0005297394295896	0.0019062549441271	0.0007366172241243	KDM1A/SHH/TGFB1/TP53	4
BP	GO:1902807	negative regulation of cell cycle G1/S phase transition	4/74	95/18870	0.0005297394295896	0.0019062549441271	0.0007366172241243	BCL2/CCL2/CDKN1A/TP53	4
BP	GO:0022404	molting cycle process	4/74	96/18870	0.0005511434235212	0.0019768235375105	0.0007638864210009	BCL2/RELA/SHH/TNF	4
BP	GO:0022405	hair cycle process	4/74	96/18870	0.0005511434235212	0.0019768235375105	0.0007638864210009	BCL2/RELA/SHH/TNF	4
BP	GO:0070664	negative regulation of leukocyte proliferation	4/74	96/18870	0.0005511434235212	0.0019768235375105	0.0007638864210009	CASP3/IL10/SHH/TNFAIP3	4
BP	GO:0042554	superoxide anion generation	3/74	41/18870	0.0005544742975099	0.0019844659111096	0.0007668395957815	SOD1/SOD2/TGFB1	3
BP	GO:1904994	regulation of leukocyte adhesion to vascular endothelial cell	3/74	41/18870	0.0005544742975099	0.0019844659111096	0.0007668395957815	IL6/RELA/TNF	3
BP	GO:0050878	regulation of body fluid levels	7/74	365/18870	0.0005659622488154	0.0020233915209002	0.0007818812746082	COL3A1/HIF1A/IL6/MAPK14/NFE2L2/NOS3/SHH	7
BP	GO:0060828	regulation of canonical Wnt signaling pathway	6/74	262/18870	0.0005690889122526	0.0020301801864286	0.0007845045585359	COL1A1/DDIT3/MAPK14/NFKB1/SHH/TGFB1	6
BP	GO:0090068	positive regulation of cell cycle process	6/74	262/18870	0.0005690889122526	0.0020301801864286	0.0007845045585359	AKT1/BECN1/CDC25B/IL1A/IL1B/TNF	6
BP	GO:0043086	negative regulation of catalytic activity	8/74	480/18870	0.0005726173558947	0.002040285468351	0.0007884094531784	AKT1/CDKN1A/CDKN2A/GPX1/IL1B/NFKB1/TNF/TP53	8
BP	GO:1901874	negative regulation of post-translational protein modification	4/74	97/18870	0.0005731554883877	0.002040285468351	0.0007884094531784	AKT1/RELA/SQSTM1/TNFAIP3	4
BP	GO:0003007	heart morphogenesis	6/74	264/18870	0.0005922652339186	0.0021004927660093	0.0008116748262649	HIF1A/MTOR/NOS3/SHH/TGFB1/TP53	6
