"Rank","Gene","Relevance_score"
"361","RAD54L","40.1862258911133"
"362","SMAD7","40.0728607177734"
"363","FN1","40.0408706665039"
"364","AXL","40.0020484924316"
"365","BCL2L1","39.9811325073242"
"366","MIR200C","39.8926277160645"
"367","ROS1","39.8764152526855"
"368","TRIP13","39.7254333496094"
"369","GSTP1","39.6604919433594"
"370","NCOR2","39.6438217163086"
"371","MIR150","39.5269622802734"
"372","ABCG2","39.4899787902832"
"373","FGFR4","39.4455451965332"
"374","MIR139","39.4022102355957"
"375","TRIM24","39.3768005371094"
"376","GSK3B","39.2858848571777"
"377","GPC3","39.2138671875"
"378","CCL2","39.1726188659668"
"379","CASC11","39.0993614196777"
"380","LRP1B","39.0228729248047"
"381","IGFBP3","39.0226974487305"
"382","MIR210","38.9807739257813"
"383","MIR29A","38.9683952331543"
"384","PRNCR1","38.9297714233398"
"385","MIR223","38.9146347045898"
"386","KRT19","38.8788719177246"
"387","SNHG12","38.8466033935547"
"388","ABCC1","38.7544631958008"
"389","DIO1","38.7374267578125"
"390","MIR149","38.7100791931152"
"391","MIR181A1","38.6782684326172"
"392","SHH","38.6508369445801"
"393","XPA","38.6471405029297"
"394","CDK2","38.6022834777832"
"395","RARA","38.5947074890137"
"396","MEG3","38.5557136535645"
"397","FOXO3","38.5010871887207"
"398","FANCG","38.4095764160156"
"399","SERPINA7","38.405403137207"
"400","RNASEL","38.4047317504883"
"401","CXCL8","38.3799514770508"
"402","LINC01089","38.375114440918"
"403","IL2RA","38.3323135375977"
"404","MIR335","38.2898063659668"
"405","MTHFR","38.216724395752"
"406","MIR99A","38.2099990844727"
"407","MKI67","38.1192054748535"
"408","LINC00941","38.0949783325195"
"409","JAK1","38.0729026794434"
"410","MIR106A","38.0578498840332"
"411","MIR197","38.0112991333008"
"412","HNF1B","37.9567527770996"
"413","SLC2A1","37.8465728759766"
"414","SECISBP2","37.8461532592773"
"415","MIR204","37.791389465332"
"416","MIR93","37.789249420166"
"417","FOXA1","37.7188911437988"
"418","FHIT","37.7048683166504"
"419","AXIN1","37.6972541809082"
"420","MAP3K1","37.528434753418"
"421","DIO2","37.4985084533691"
"422","ADIPOQ","37.315559387207"
"423","IRF1","37.2999229431152"
"424","RMRP","37.2891616821289"
"425","YAP1","37.1811103820801"
"426","MIR200B","37.1652221679688"
"427","SOX9","37.1289749145508"
"428","CTAG1B","37.1194534301758"
"429","MIR320A","37.1002388000488"
"430","PCAT6","37.0846862792969"
"431","GSTM1","37.0655517578125"
"432","FANCE","37.0580596923828"
"433","XIAP","37.0222663879395"
"434","ABRAXAS1","37.0104370117188"
"435","LINC00520","36.9893569946289"
"436","MIR127","36.8777122497559"
"437","TYMS","36.8440322875977"
"438","PGR","36.822395324707"
"439","MIR140","36.5895385742188"
"440","AKT2","36.5887565612793"
"441","ASMTL-AS1","36.5609970092773"
"442","TGFBR1","36.5168342590332"
"443","PANDAR","36.489990234375"
"444","MIRLET7B","36.4691925048828"
"445","IL4","36.3431396484375"
"446","TCF7L2","36.3222198486328"
"447","FANCI","36.2649154663086"
"448","HNF1A","36.2342720031738"
"449","LINC00511","36.2327651977539"
"450","COMETT","36.2321395874023"
"451","CYP17A1","36.2210960388184"
"452","LBX2-AS1","36.21240234375"
"453","ZEB1","36.1798858642578"
"454","FANCL","36.1307678222656"
"455","MIR133B","36.0863265991211"
"456","NFKBIA","36.0591812133789"
"457","BUB1","36.0571479797363"
"458","MAP2K2","35.9859008789063"
"459","MIR9-1","35.9593124389648"
"460","RELA","35.9306945800781"
"461","LOC129390903","35.9305953979492"
"462","ERCC3","35.9010276794434"
"463","PKM","35.8861427307129"
"464","MIR142","35.8703231811523"
"465","LEP","35.8701019287109"
"466","SOCS1","35.8513641357422"
"467","MIR148A","35.8090400695801"
"468","THADA","35.7444190979004"
"469","ZNF609","35.6543579101563"
"470","PROM1","35.645336151123"
"471","CXCL12","35.5886421203613"
"472","MAPK3","35.5828170776367"
"473","DARS1-AS1","35.5744857788086"
"474","KCNQ1OT1","35.4852981567383"
"475","E2F1","35.4844589233398"
"476","MIR224","35.4660606384277"
"477","CCND2","35.4500350952148"
"478","MIR203A","35.37548828125"
"479","MIR10B","35.2922859191895"
"480","TRIP12","35.2095527648926"
"481","HMGA2","35.1856002807617"
"482","CEBPA","35.1734237670898"
"483","MT-CYB","35.1257438659668"
"484","NRAD1","35.0790023803711"
"485","NDUFA13","35.0726699829102"
"486","HLA-DRB1","34.9845962524414"
"487","GNAQ","34.9549369812012"
"488","NCOA3","34.9487152099609"
"489","SETD2","34.937629699707"
"490","MELTF-AS1","34.8725204467773"
"491","MIR22","34.8592758178711"
"492","PRKN","34.8557472229004"
"493","FAM230B","34.8542709350586"
"494","MIR191","34.8369674682617"
"495","TWIST1","34.819751739502"
"496","MIR4435-2HG","34.6778602600098"
"497","FANCF","34.588996887207"
"498","MIR29C","34.5842475891113"
"499","MCL1","34.5583000183105"
"500","ENG","34.5114555358887"
"501","BCAR4","34.4669570922852"
"502","ELAC2","34.4542846679688"
"503","MIR96","34.4277839660645"
"504","MIR23A","34.2847099304199"
"505","MIR15A","34.2306289672852"
"506","SST","34.2206077575684"
"507","MIRLET7D","34.1879577636719"
"508","CYP19A1","34.1874008178711"
"509","CFTR","34.1792297363281"
"510","LDLR","34.1436233520508"
"511","SNHG6","34.1034126281738"
"512","MIR296","34.0726203918457"
"513","SLC26A4-AS1","34.0642395019531"
"514","FLT4","34.0618743896484"
"515","WWOX","34.0550079345703"
"516","CASP9","34.0471725463867"
"517","POU1F1","34.0275497436523"
"518","INS","33.9680099487305"
"519","ALB","33.9330101013184"
"520","PRKCA","33.8820762634277"
"521","SOX2-OT","33.8736534118652"
"522","MIR451A","33.8397941589355"
"523","PDGFRB","33.8155136108398"
"524","MIR106B","33.8052520751953"
"525","CEACAM5","33.7672233581543"
"526","MIR424","33.7330436706543"
"527","MIR211","33.7094917297363"
"528","KIF1B","33.5493545532227"
"529","OTUD6B-AS1","33.5490036010742"
"530","RHBDF2","33.5366249084473"
"531","MAPKAPK5-AS1","33.5342712402344"
"532","METTL3","33.4917068481445"
"533","ATRX","33.4909439086914"
"534","CYP1A1","33.4891090393066"
"535","GFOD3P","33.4091911315918"
"536","RPS20","33.2627029418945"
"537","MANCR","33.2513732910156"
"538","NTRK2","33.2322692871094"
"539","CREB1","33.2219047546387"
"540","FOLH1","33.1979370117188"
"541","TMPRSS2","33.187873840332"
"542","MED1","33.1042175292969"
"543","RHOA","33.0855178833008"
"544","TLR4","33.0591354370117"
"545","ITGB1","33.0539169311523"
"546","KLF6","32.9409103393555"
"547","DLEU1","32.8724327087402"
"548","MIRLET7G","32.8502731323242"
"549","LINC00312","32.8351058959961"
"550","MIR23B","32.7809524536133"
"551","MIR30E","32.7631607055664"
"552","MIR10A","32.7493324279785"
"553","CD82","32.7429695129395"
"554","PIK3CD","32.721736907959"
"555","CASP10","32.6833724975586"
"556","IL7R","32.6737785339355"
"557","CDKN2C","32.641300201416"
"558","TMC6","32.6170196533203"
"559","MED12","32.586296081543"
"560","SNHG5","32.538013458252"
"561","LOC126806630","32.4976119995117"
"562","NPM1","32.4849700927734"
"563","MIR100","32.4304351806641"
"564","BDNF-AS","32.3622398376465"
"565","ZEB2","32.3088188171387"
"566","SNHG17","32.3053245544434"
"567","HGF","32.2960662841797"
